id,name,segment,territory_id,assigned_salesperson_id,lat,lng,priority,avg_order_value_rm,open_pipeline_rm,last_visit_days,reorder_probability
cust-0001,Apex Construction 001,maintenance,terr-kl-central,sp-kl-central,3.174344,101.651225,2,13517.98,12423.14,99,0.776
cust-0002,Bintang Engineering 002,project_site,terr-kl-central,sp-kl-central,3.135542,101.690523,1,11068.14,16509.55,93,0.628
cust-0003,Cahaya Industrial 003,distributor,terr-kl-central,sp-kl-central,3.166478,101.6684,3,6548.85,4435.88,41,0.663
cust-0004,Delta Buildmart 004,distributor,terr-kl-central,sp-kl-central,3.143537,101.713856,4,7126.64,3569.49,64,0.829
cust-0005,Eagle Contractors 005,distributor,terr-kl-central,sp-kl-central,3.1686,101.691866,5,3220.97,2508.45,112,0.95
cust-0006,Fortis Site Services 006,distributor,terr-kl-central,sp-kl-central,3.150825,101.692519,1,4318.84,7488.98,47,0.509
cust-0007,Gemilang Project Supply 007,maintenance,terr-kl-central,sp-kl-central,3.163498,101.715233,3,13688.39,21168.64,99,0.835
cust-0008,Harapan Trading 008,distributor,terr-kl-central,sp-kl-central,3.0994,101.704719,5,11236.66,15671.1,6,0.716
cust-0009,Ikon Construction 009,contractor,terr-kl-central,sp-kl-central,3.117958,101.710979,2,10290.3,3893.0,48,0.55
cust-0010,Jaya Engineering 010,contractor,terr-kl-central,sp-kl-central,3.134938,101.667931,3,10183.66,15914.71,54,0.712
cust-0011,Kencana Industrial 011,maintenance,terr-kl-central,sp-kl-central,3.161111,101.674788,4,5734.58,8727.66,10,0.727
cust-0012,Metro Buildmart 012,contractor,terr-kl-central,sp-kl-central,3.12493,101.632085,3,14699.65,21068.87,32,0.705
cust-0013,Apex Contractors 013,project_site,terr-kl-central,sp-kl-central,3.13302,101.664202,4,9261.88,7019.71,102,0.95
cust-0014,Bintang Site Services 014,maintenance,terr-kl-central,sp-kl-central,3.178637,101.682702,5,3918.72,3473.98,109,0.95
cust-0015,Cahaya Project Supply 015,project_site,terr-kl-central,sp-kl-central,3.134523,101.679275,3,6183.53,9367.12,15,0.524
cust-0016,Delta Trading 016,distributor,terr-kl-central,sp-kl-central,3.141509,101.701521,1,11698.24,19645.41,64,0.601
cust-0017,Eagle Construction 017,contractor,terr-kl-central,sp-kl-central,3.120755,101.679725,5,11868.17,19485.74,17,0.819
cust-0018,Fortis Engineering 018,contractor,terr-kl-central,sp-kl-central,3.106127,101.657363,4,10866.51,15394.1,62,0.892
cust-0019,Gemilang Industrial 019,contractor,terr-kl-central,sp-kl-central,3.154613,101.740523,4,11158.09,13794.28,7,0.641
cust-0020,Harapan Buildmart 020,contractor,terr-kl-central,sp-kl-central,3.166324,101.676049,3,9061.46,16009.68,55,0.753
cust-0021,Ikon Contractors 021,distributor,terr-kl-central,sp-kl-central,3.137891,101.687346,5,8134.67,3978.34,10,0.776
cust-0022,Jaya Site Services 022,project_site,terr-kl-central,sp-kl-central,3.152408,101.646608,4,11388.15,14447.49,16,0.754
cust-0023,Kencana Project Supply 023,project_site,terr-kl-central,sp-kl-central,3.128329,101.693866,4,7110.81,10110.69,88,0.948
cust-0024,Metro Trading 024,distributor,terr-kl-central,sp-kl-central,3.12033,101.728419,2,10579.65,13412.09,34,0.58
cust-0025,Apex Construction 025,contractor,terr-kl-central,sp-kl-central,3.182122,101.652587,4,12151.26,3601.79,39,0.847
cust-0026,Bintang Engineering 026,maintenance,terr-kl-central,sp-kl-central,3.171974,101.732359,5,8744.51,13135.79,57,0.95
cust-0027,Cahaya Industrial 027,project_site,terr-kl-central,sp-kl-central,3.165876,101.736037,2,8331.68,8797.43,59,0.596
cust-0028,Delta Buildmart 028,project_site,terr-kl-central,sp-kl-central,3.146472,101.692523,5,6638.79,5990.45,61,0.95
cust-0029,Eagle Contractors 029,contractor,terr-kl-central,sp-kl-central,3.16744,101.648838,1,8352.38,6617.07,62,0.598
cust-0030,Fortis Site Services 030,project_site,terr-kl-central,sp-kl-central,3.196464,101.692796,3,2963.93,3024.77,16,0.512
cust-0031,Gemilang Project Supply 031,project_site,terr-kl-central,sp-kl-central,3.173097,101.684984,3,13975.72,8471.96,50,0.623
cust-0032,Harapan Trading 032,distributor,terr-kl-central,sp-kl-central,3.101101,101.682531,3,4683.82,1338.74,118,0.95
cust-0033,Ikon Construction 033,contractor,terr-kl-central,sp-kl-central,3.112093,101.685503,4,15650.57,18222.86,30,0.69
cust-0034,Jaya Engineering 034,maintenance,terr-kl-central,sp-kl-central,3.162897,101.687906,4,15571.95,9834.91,102,0.95
cust-0035,Kencana Industrial 035,distributor,terr-kl-central,sp-kl-central,3.165453,101.635676,2,13485.15,23517.33,97,0.737
cust-0036,Metro Buildmart 036,contractor,terr-kl-central,sp-kl-central,3.132437,101.639469,4,11822.4,16619.3,14,0.698
cust-0037,Apex Contractors 037,distributor,terr-kl-central,sp-kl-central,3.180853,101.670966,3,2524.29,585.87,64,0.74
cust-0038,Bintang Site Services 038,distributor,terr-kl-central,sp-kl-central,3.182934,101.720834,3,8333.76,9183.57,56,0.805
cust-0039,Cahaya Project Supply 039,project_site,terr-kl-central,sp-kl-central,3.159816,101.639793,5,6664.85,6319.08,98,0.95
cust-0040,Delta Trading 040,contractor,terr-kl-central,sp-kl-central,3.086862,101.705354,2,13310.17,12573.08,45,0.529
cust-0041,Eagle Construction 041,distributor,terr-kl-central,sp-kl-central,3.147926,101.723967,2,8487.43,2953.31,56,0.628
cust-0042,Fortis Engineering 042,maintenance,terr-kl-central,sp-kl-central,3.133559,101.637694,1,2388.94,2446.62,28,0.38
cust-0043,Gemilang Industrial 043,contractor,terr-kl-central,sp-kl-central,3.134117,101.727185,2,11427.32,13903.7,45,0.635
cust-0044,Harapan Buildmart 044,contractor,terr-kl-central,sp-kl-central,3.10849,101.733384,3,12341.4,2606.22,87,0.917
